frmName,ctlName,UseTheme,HoverColor,PressedColor,HoverForeColor,PressedForeColor	
subfrmEnterProjects,cmdGoToFirst,False,16777215,16777215,16777215,16777215	
subfrmEnterProjects,cmdNextRecord,False,16777215,16777215,16777215,16777215	
subfrmEnterProjects,cmdGotoPrevious,False,16777215,16777215,16777215,16777215	
subfrmEnterProjects,cmdSaveRecord,True,9917743,15983578,13431551,0	
subfrmRpaInfo,cmdRptApplicantPOC,False,16777215,16777215,16777215,16777215	
subfrmSitesScopeCost,cmdCloseForm,False,16777215,16777215,16777215,16777215	
frmEnterListofProjects,cmdSearch,True,9917743,15983578,13431551,0	
frmEnterListofProjects,cmdSwitch,True,9917743,15983578,13431551,0	
frmEnterListofProjects,cmdCloseForm,True,9917743,15983578,13431551,0	
frmSpcializedLaneAssignTechSpecialists,cmdDvsSubmit,False,16777215,16777215,16777215,16777215	
frmSpcializedLaneAssignTechSpecialists,cmdCloseForm,False,16777215,16777215,16777215,16777215	
frmSpcializedLaneAssignTechSpecialists,cmdFirst,False,16777215,16777215,16777215,16777215	
frmSpcializedLaneAssignTechSpecialists,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmSpcializedLaneAssignTechSpecialists,cmdNext,False,16777215,16777215,16777215,16777215	
frmSpcializedLaneAssignTechSpecialists,cmdLast,False,16777215,16777215,16777215,16777215	
frmSpcializedLaneAssignTechSpecialists,cmdCloseFrm,False,16777215,16777215,16777215,16777215	
frmStWorkOrderDev,cmdDvsSubmitWorkOrder,True,14282978,12874308,0,16777215	
frmStWorkOrderDev,cmdDvsSubmitDraftDDD,True,14282978,12874308,0,16777215	
frmStWorkOrderDev,cmdFirst,False,16777215,16777215,16777215,16777215	
frmStWorkOrderDev,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmStWorkOrderDev,cmdNext,False,16777215,16777215,16777215,16777215	
frmStWorkOrderDev,cmdLast,False,16777215,16777215,16777215,16777215	
frmStWorkOrderDev,cmdCloseFrm,True,9917743,15189940,13431551,0	
frmUpdateRSMProjections,cmdFinalize,True,14602694,16247774,16777215,16777215	
frmUpdateRSMProjections,cmdUpdate,True,14602694,16247774,16777215,16777215	
frmUpdateRSMProjections,cmdDIUEntry,False,16777215,16777215,16777215,16777215	
frmUpdateRSMProjections,cmdViewHistory,False,16777215,16777215,16777215,16777215	
frmUpdateRSMProjections,cmdCloseForm,False,16777215,16777215,16777215,16777215	
subfrmProjectSites,Command61,False,16777215,16777215,16777215,16777215	
subfrmProjectSites,Command62,False,16777215,16777215,16777215,16777215	
subfrmProjectSites,Command63,False,16777215,16777215,16777215,16777215	
subfrmProjectSites,Command64,False,16777215,16777215,16777215,16777215	
subfrmSpecializedAssignsProjects,Command133,False,16777215,16777215,16777215,16777215	
frmExpeditedLaneComplianceReviews,Command39,True,15652797,11957550,4210752,4210752	
frmExpeditedLaneComplianceReviews,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmExpeditedLaneComplianceReviews,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmExpeditedLaneComplianceReviews,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmExpeditedLaneComplianceReviews,cmdNext,False,16777215,16777215,16777215,16777215	
navReports,cmdPreviewSIWorkOrder,True,15652797,11957550,4210752,4210752	
